id,anoFabricacao,cidade,quantidade,siglaEstado,marca,modelo
496,2005.0,,12,RJ,FIAT,STRADA FIRE
497,2016.0,,10,MG,FIAT,
498,2005.0,,12,RO,,
499,2010.0,MARICA,10,RJ,HONDA,
500,2011.0,CURITIBA,96,PR,,
501,2005.0,ARAGUARI,14,MG,,
502,1987.0,,12,AC,,
503,,,94,PR,FORD,FIESTA FLEX
504,,,10,,FIAT,UNO MILLE FIRE FLEX
505,2010.0,CURITIBA,15,,MMC,PAJERO HD
506,2021.0,,17,MS,RENAULT,LOGAN ZEN10MT
507,,,20,PA,VW,POLO MCA
508,2015.0,,10,PE,HONDA,POP100
509,1980.0,,28,,VW,VARIANT II
510,2000.0,COLORADO,10,,,
511,2006.0,,10,MG,VW,FOX 1.0
512,,,21,,HONDA,NXR150 BROS ES
513,,,12,,,
514,2021.0,GOIANIA,34,GO,,RENEGADE MOAB
515,2016.0,CEARA-MIRIM,21,RN,HONDA,
516,2006.0,APARECIDA DE GOIANIA,92,,,HUNTER 90
517,,,12,,HONDA,NXR 160 BROS
518,2013.0,,19,MA,,CG 125 FAN ESD
